# The element names and the element order of the XR representation.
#
# Generated from src/xsd/xrechnung-semantic-model.xsd of the KoSIT
# XRechnung visualization, tag v2026-08-31, SHA-256
# dc2193877adf0f5b31dcf0e86a24f38773bb748b0f0ec001341e4a2892121aef,
# by XrElementsSource of this module. Do not edit by hand; the test
# XrElementsTest derives this file again on every build and compares it.
#
# One line per element of the schema, in schema order, with tabs between
# the fields: the group the element sits in, the business term or business
# group it stands for, the name of the element, and the name of its type.
# The group of an element at the root of the document is written as the
# name of the root element, invoice.
invoice	BT-1	Invoice_number	identifier
invoice	BT-2	Invoice_issue_date	date
invoice	BT-3	Invoice_type_code	code
invoice	BT-5	Invoice_currency_code	code
invoice	BT-6	VAT_accounting_currency_code	code
invoice	BT-7	Value_added_tax_point_date	date
invoice	BT-8	Value_added_tax_point_date_code	code
invoice	BT-9	Payment_due_date	date
invoice	BT-10	Buyer_reference	text
invoice	BT-11	Project_reference	document_reference
invoice	BT-12	Contract_reference	document_reference
invoice	BT-13	Purchase_order_reference	document_reference
invoice	BT-14	Sales_order_reference	document_reference
invoice	BT-15	Receiving_advice_reference	document_reference
invoice	BT-16	Despatch_advice_reference	document_reference
invoice	BT-17	Tender_or_lot_reference	document_reference
invoice	BT-18	Invoiced_object_identifier	identifier
invoice	BT-19	Buyer_accounting_reference	text
invoice	BT-20	Payment_terms	text
invoice	BG-1	INVOICE_NOTE	INVOICE_NOTEType
invoice	BG-2	PROCESS_CONTROL	PROCESS_CONTROLType
invoice	BG-3	PRECEDING_INVOICE_REFERENCE	PRECEDING_INVOICE_REFERENCEType
invoice	BG-4	SELLER	SELLERType
invoice	BG-7	BUYER	BUYERType
invoice	BG-10	PAYEE	PAYEEType
invoice	BG-11	SELLER_TAX_REPRESENTATIVE_PARTY	SELLER_TAX_REPRESENTATIVE_PARTYType
invoice	BG-13	DELIVERY_INFORMATION	DELIVERY_INFORMATIONType
invoice	BG-14	INVOICING_PERIOD	INVOICING_PERIODType
invoice	BG-16	PAYMENT_INSTRUCTIONS	PAYMENT_INSTRUCTIONSType
invoice	BG-20	DOCUMENT_LEVEL_ALLOWANCES	DOCUMENT_LEVEL_ALLOWANCESType
invoice	BG-21	DOCUMENT_LEVEL_CHARGES	DOCUMENT_LEVEL_CHARGESType
invoice	BG-22	DOCUMENT_TOTALS	DOCUMENT_TOTALSType
invoice	BG-23	VAT_BREAKDOWN	VAT_BREAKDOWNType
invoice	BG-24	ADDITIONAL_SUPPORTING_DOCUMENTS	ADDITIONAL_SUPPORTING_DOCUMENTSType
invoice	BG-25	INVOICE_LINE	INVOICE_LINEType
invoice	BG-DEX-09	THIRD_PARTY_PAYMENT	THIRD_PARTY_PAYMENTType
BG-1	BT-21	Invoice_note_subject_code	code
BG-1	BT-22	Invoice_note	text
BG-2	BT-23	Business_process_type	text
